modelo,enc,imp,norm,sel,n_runs,rmse_mean,rmse_std,mae_mean,mae_std,mape_mean,mape_std,r2_mean,r2_std,status
MLP,onehot,mediana,robust,,5,0.3025439795264777,0.0018896624096864031,0.219389690122489,0.0015875683164882934,0.050649978202296206,0.0004167871836891492,0.9513284819028243,0.0006216995340348923,ok
MLP,ordinal,mediana,robust,,5,0.31496447405875494,0.0017963755335481404,0.2318015591818992,0.0017274972584137706,0.05439997497529294,0.0005150010124699053,0.9473767187599564,0.0006052297732598748,ok
MLP,ordinal,mediana,robust,selectkbest,5,0.31496447405875494,0.0017963755335481404,0.2318015591818992,0.0017274972584137706,0.05439997497529294,0.0005150010124699053,0.9473767187599564,0.0006052297732598748,ok
MLP,onehot,mediana,minmax,,5,0.32062233163297293,0.0052723394448913235,0.2339359396557615,0.0051585864585018525,0.05423939671203505,0.0013226788241200316,0.9453911916906328,0.0017961229083389395,ok
MLP,onehot,mediana,robust,selectkbest,5,0.3239952259721072,0.0037989742643207867,0.23904702581757306,0.0025841391705757138,0.056286458992191736,0.000405470804094797,0.9442807543588956,0.0013107077167029079,ok
MLP,onehot,interpolacao,robust,selectkbest,5,0.3239952259721072,0.0037989742643207867,0.23904702581757306,0.0025841391705757138,0.056286458992191736,0.000405470804094797,0.9442807543588956,0.0013107077167029079,ok
MLP,onehot,mediana,quantile,,5,0.3277541753205086,0.003353030473718586,0.23868615207241578,0.0037451346720282354,0.05535474651036006,0.0011043724977650685,0.942971274536686,0.00117537771538469,ok
MLP,onehot,interpolacao,quantile,selectkbest,5,0.33959556477728875,0.0024070438373218588,0.25080755402722055,0.001828483037950466,0.05947802763378094,0.000858058730878632,0.9388696093787688,0.0008559521851251635,ok
MLP,onehot,mediana,quantile,selectkbest,5,0.33959556477728875,0.0024070438373218588,0.25080755402722055,0.001828483037950466,0.05947802763378094,0.000858058730878632,0.9388696093787688,0.0008559521851251635,ok
MLP,onehot,mediana,minmax,selectkbest,5,0.3406657906160616,0.0027742716177568062,0.25195458243118385,0.0031685163208564414,0.0597331020832378,0.0009460185756098652,0.9384196549468549,0.001015701807217343,ok
MLP,onehot,interpolacao,minmax,selectkbest,5,0.3406657906160616,0.0027742716177568062,0.25195458243118385,0.0031685163208564414,0.0597331020832378,0.0009460185756098652,0.9384196549468549,0.001015701807217343,ok
MLP,ordinal,mediana,minmax,selectkbest,5,0.34400464208045634,0.004095372648208027,0.25497705080943456,0.0026562865665692033,0.06001426940463865,0.0002505760487009674,0.9372159166535642,0.001507123397554802,ok
MLP,ordinal,mediana,minmax,,5,0.34400464208045634,0.004095372648208027,0.25497705080943456,0.0026562865665692033,0.06001426940463865,0.0002505760487009674,0.9372159166535642,0.001507123397554802,ok
MLP,ordinal,mediana,quantile,selectkbest,5,0.3512320736485216,0.008704776680763665,0.25928371443307113,0.0064669088662904495,0.061266572285049045,0.00182671720766543,0.9345516470973152,0.0032589398100730258,ok
MLP,ordinal,mediana,quantile,,5,0.3512320736485216,0.008704776680763665,0.25928371443307113,0.0064669088662904495,0.061266572285049045,0.00182671720766543,0.9345516470973152,0.0032589398100730258,ok
DecisionTree,ordinal,mediana,,selectkbest,1,0.39827572735263017,0.0,0.2808762007599555,0.0,0.06561903752116359,0.0,0.8815812870820301,0.0,ok
DecisionTree,ordinal,mediana,,,1,0.39827572735263017,0.0,0.2808762007599555,0.0,0.06561903752116359,0.0,0.8815812870820301,0.0,ok
DecisionTree,onehot,mediana,,selectkbest,1,0.4456014265299678,0.0,0.32811503396877384,0.0,0.07982821134377434,0.0,0.8491928587812421,0.0,ok
DecisionTree,ordinal,interpolacao,,,1,0.45475048020491365,0.0,0.3195436099396113,0.0,0.07592754108348257,0.0,0.8414009905270671,0.0,ok
DecisionTree,ordinal,interpolacao,,selectkbest,1,0.45475048020491365,0.0,0.3195436099396113,0.0,0.07592754108348257,0.0,0.8414009905270671,0.0,ok
MLP,onehot,interpolacao,robust,selectfrommodel,5,0.4577637366046847,0.0022852781521802913,0.335901628317476,0.002581855687978276,0.08054193608757346,0.0010381916096344553,0.8888457473358887,0.0011229201235435416,ok
MLP,onehot,mediana,robust,selectfrommodel,5,0.4577637366046847,0.0022852781521802913,0.335901628317476,0.002581855687978276,0.08054193608757346,0.0010381916096344553,0.8888457473358887,0.0011229201235435416,ok
MLP,onehot,mediana,minmax,selectfrommodel,5,0.46253068616198306,0.0035021735490274584,0.33843225392683796,0.0025644775952062752,0.08070884791040586,0.00046968500856216065,0.8864931825869036,0.001748307022813124,ok
